id,agente_origem_id,agente_destino_id,tipo_conexao,peso_confianca,areas_colaboracao,descricao_conexao,ativa,created_at,updated_at
1,122,121,inter_area,0.90,,Avaliação criminal,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
2,121,122,inter_area,0.90,,Avaliação criminal,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
3,115,185,inter_area,0.90,,Benefícios e aposentadoria,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
4,185,115,inter_area,0.90,,Benefícios e aposentadoria,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
5,115,120,inter_area,0.80,,Relações capital/trabalho,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
6,120,115,inter_area,0.80,,Relações capital/trabalho,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
7,115,121,inter_area,0.80,,Passivos trabalhistas,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
8,121,115,inter_area,0.80,,Passivos trabalhistas,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
9,120,117,inter_area,0.90,,Planejamento fiscal,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
10,117,120,inter_area,0.90,,Planejamento fiscal,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
11,121,120,inter_area,0.90,,Riscos empresariais,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
12,120,121,inter_area,0.90,,Riscos empresariais,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
13,129,115,intra_area,0.90,,Supervisão hierárquica,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
21,129,364,intra_area,0.90,,Supervisão hierárquica,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
23,130,120,intra_area,0.90,,Supervisão hierárquica,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
28,130,249,intra_area,0.90,,Supervisão hierárquica,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
29,130,213,intra_area,0.90,,Supervisão hierárquica,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
31,130,273,intra_area,0.90,,Supervisão hierárquica,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
33,121,238,intra_area,0.90,,Supervisão hierárquica,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
36,121,250,intra_area,0.90,,Supervisão hierárquica,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
39,121,274,intra_area,0.90,,Supervisão hierárquica,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
54,200,236,intra_area,0.90,,Supervisão hierárquica,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
56,200,224,intra_area,0.90,,Supervisão hierárquica,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
57,200,272,intra_area,0.90,,Supervisão hierárquica,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
61,200,308,intra_area,0.90,,Supervisão hierárquica,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
74,117,198,intra_area,0.90,,Supervisão hierárquica,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
80,117,234,intra_area,0.90,,Supervisão hierárquica,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
81,117,342,intra_area,0.90,,Supervisão hierárquica,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
84,185,221,intra_area,0.90,,Supervisão hierárquica,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
87,185,449,intra_area,0.90,,Supervisão hierárquica,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
92,185,389,intra_area,0.90,,Supervisão hierárquica,t,2025-08-14 06:53:14.836548,2025-08-14 06:53:14.836548
