foro,area,ano,especificidade_obs
SP,cível,2022,0.8812605494820481
SP,cível,2023,0.8432913715142449
SP,cível,2024,0.8673619081920655
SP,trabalhista,2022,0.8993607814851646
SP,trabalhista,2023,0.9580095092685464
SP,trabalhista,2024,0.9450811579011628
SP,consumidor,2022,0.9018303279981794
SP,consumidor,2023,0.8743956458823539
SP,consumidor,2024,0.862313655923393
SP,agrário,2022,0.8365485977876258
SP,agrário,2023,0.8931564848203984
SP,agrário,2024,0.8808357466799787
RJ,cível,2022,0.9057913946740908
RJ,cível,2023,0.8809639623776688
RJ,cível,2024,0.8696338943772967
RJ,trabalhista,2022,0.928544962038138
RJ,trabalhista,2023,0.9400084859902695
RJ,trabalhista,2024,0.9445527912774019
RJ,consumidor,2022,0.8890531963189436
RJ,consumidor,2023,0.8366803357703239
RJ,consumidor,2024,0.8007382311212139
RJ,agrário,2022,0.8493095637124309
RJ,agrário,2023,0.9065864053992496
RJ,agrário,2024,0.866290090085444
MG,cível,2022,0.9424623343705424
MG,cível,2023,0.7441932483112481
MG,cível,2024,0.8596736644021296
MG,trabalhista,2022,0.9475522207464867
MG,trabalhista,2023,0.9569378402716119
MG,trabalhista,2024,0.9475768359691491
MG,consumidor,2022,0.9188164153232746
MG,consumidor,2023,0.8727986108723529
MG,consumidor,2024,0.8640848589751097
MG,agrário,2022,0.8997436212091943
MG,agrário,2023,0.9044289035548762
MG,agrário,2024,0.8386284209849728
RS,cível,2022,0.9047397434631131
RS,cível,2023,0.8723306514945173
RS,cível,2024,0.9148127312752702
RS,trabalhista,2022,0.9526568300461493
RS,trabalhista,2023,0.9107542683740502
RS,trabalhista,2024,0.9257750608771499
RS,consumidor,2022,0.9160016659713378
RS,consumidor,2023,0.9263307269674189
RS,consumidor,2024,0.840506352648263
RS,agrário,2022,0.8886601711812461
RS,agrário,2023,0.8461046312618554
RS,agrário,2024,0.9512321235586624
