foro,area,sensibilidade,especificidade
SP,cível,0.8157546154695213,0.9572323930507304
SP,trabalhista,0.7496083824631308,0.9056054947529426
SP,consumidor,0.7248910103933032,0.8637758920820182
SP,agrário,0.8409142051464373,0.846712178232834
RJ,cível,0.8071419486698198,0.6598132647078486
RJ,trabalhista,0.7371567955909348,0.6782264240653016
RJ,consumidor,0.7492260741233852,0.6934591130010962
RJ,agrário,0.776707114659899,0.6409344718622221
MG,cível,0.8180072212413088,0.8955279020276037
MG,trabalhista,0.6940734961693956,0.8899479089155027
MG,consumidor,0.8237508334368767,0.8782352708569394
MG,agrário,0.786143148588048,0.916690858431403
RS,cível,0.7220467072680494,0.8408527862636821
RS,trabalhista,0.7679370159309666,0.9366282771395583
RS,consumidor,0.6816380866424185,0.8754298340333305
RS,agrário,0.765691449402891,0.9105439899074752
