foro,juiz,area,valor_causa,ano,prescricao,impugnacao_pericia,nulidade_prova,acordo_proposto,ilegitimidade,decadencia,vitoria
RJ,J02,agrário,7836.69880607978,2024,1,0,1,1,0,1,1
RS,J03,agrário,11000.76094554178,2021,1,0,0,0,1,1,1
RS,J02,agrário,30540.53510192847,2022,1,1,0,1,0,1,1
RJ,J02,trabalhista,50306.27798722575,2024,0,1,1,0,1,0,0
RS,J02,agrário,31465.0128642831,2022,0,1,0,1,0,0,1
RS,J01,agrário,36582.40134371437,2024,1,1,1,1,1,1,1
MG,J02,cível,27484.42363756044,2020,1,1,0,1,1,0,1
RS,J03,agrário,11766.122608576068,2024,1,0,0,0,0,0,0
RS,J01,cível,33154.16036893795,2022,1,0,0,1,1,1,0
RS,J01,cível,7705.972593852381,2020,0,0,1,1,1,0,1
RJ,J02,consumidor,10199.235486450007,2023,0,0,1,0,1,0,0
SP,J01,agrário,19016.875834345985,2022,0,0,0,0,1,1,0
RJ,J01,cível,45847.780973709014,2023,1,1,1,0,0,0,0
RJ,J01,consumidor,12474.904413596072,2020,0,0,1,0,0,0,0
RJ,J02,agrário,5215.496094533567,2021,1,1,0,0,0,1,0
RS,J01,consumidor,138834.331296804,2023,0,0,1,1,0,0,1
RS,J01,consumidor,40564.65255390499,2020,1,0,1,0,0,0,1
MG,J03,consumidor,34727.4402148532,2021,1,0,1,1,0,1,1
MG,J01,consumidor,13242.633722092485,2024,0,0,0,0,1,0,1
RJ,J02,cível,84381.99747808273,2021,1,1,1,0,0,0,0
SP,J01,cível,70588.62848052762,2020,1,0,1,0,0,0,1
RJ,J03,cível,30172.199222498108,2022,0,0,0,0,1,0,1
RJ,J01,consumidor,27159.85700916353,2024,1,1,0,0,0,0,0
SP,J03,agrário,61131.790509002305,2021,0,0,1,0,0,1,0
RS,J03,trabalhista,58321.27330776371,2023,0,1,0,0,1,1,0
SP,J01,consumidor,27151.301035832395,2021,0,0,0,0,0,1,1
RJ,J03,cível,12003.75926114805,2021,1,0,0,0,0,0,1
SP,J01,trabalhista,9451.455789109761,2022,0,0,1,1,0,1,1
RJ,J01,trabalhista,115089.84106619333,2024,1,0,0,0,1,1,1
RS,J01,cível,35011.403639786455,2020,0,0,0,0,0,0,0
MG,J02,trabalhista,34901.35208580899,2024,1,0,0,1,0,0,1
RJ,J03,cível,10337.984871527397,2021,0,0,0,1,0,1,0
SP,J02,agrário,100169.10680361192,2021,0,1,0,0,0,0,1
SP,J01,trabalhista,57724.03232021768,2024,0,0,0,1,0,1,0
RS,J01,trabalhista,24330.685759530697,2024,0,0,1,1,1,0,0
RJ,J02,consumidor,1827.0592509688395,2022,1,1,0,0,0,1,1
MG,J02,cível,75009.6805590042,2021,1,0,0,1,1,1,0
RJ,J02,agrário,6872.904996917037,2020,0,0,1,1,1,1,0
SP,J01,agrário,19813.57598299123,2021,0,1,1,0,0,0,0
SP,J03,consumidor,6004.759926442109,2024,0,0,1,0,0,0,1
SP,J03,trabalhista,11461.791259733944,2021,1,0,0,1,1,1,0
SP,J01,consumidor,8064.555887180335,2024,1,0,0,1,1,0,0
SP,J02,cível,16788.419783224417,2020,1,0,0,0,1,1,0
MG,J01,cível,11017.325571131161,2023,1,1,1,0,1,1,0
SP,J02,cível,98600.24896532952,2022,0,1,0,0,0,1,1
MG,J01,trabalhista,169535.8207318037,2023,1,0,0,0,1,0,1
MG,J01,cível,7766.3035685910245,2020,1,1,1,0,1,1,1
RS,J03,cível,32930.47879329686,2022,0,0,1,1,0,1,0
RJ,J03,consumidor,118241.69589493539,2022,0,0,1,0,0,1,0
SP,J03,trabalhista,20810.04565053069,2021,1,1,0,1,0,1,0
RJ,J03,trabalhista,71187.8157759525,2024,0,1,1,1,0,0,0
RJ,J02,trabalhista,7605.321652093931,2022,0,0,1,1,1,1,0
RJ,J02,consumidor,14210.707442365721,2023,0,1,1,0,0,1,0
RJ,J03,agrário,13729.857292179391,2024,1,0,0,0,0,0,0
RJ,J02,agrário,24426.156451535142,2021,0,0,0,0,0,1,0
RJ,J03,agrário,45018.91676135223,2020,1,0,0,0,0,0,0
RS,J02,consumidor,11217.214915146145,2021,0,0,1,1,0,0,1
RS,J01,trabalhista,24971.468321065877,2021,0,1,0,0,1,0,0
MG,J02,trabalhista,6741.325450055408,2022,1,1,1,1,0,0,1
RS,J03,trabalhista,4061.493549808738,2023,0,0,0,0,0,1,0
RS,J02,cível,23430.921977574253,2024,0,0,1,1,1,0,0
RS,J02,trabalhista,4522.306621354712,2023,0,1,1,0,0,0,0
RS,J01,cível,13486.790146531339,2020,1,0,0,0,1,0,0
RS,J02,agrário,19689.539234559015,2024,0,0,1,0,1,0,0
RJ,J03,consumidor,32781.69468221363,2021,0,0,0,1,0,0,0
RJ,J03,trabalhista,6628.916362405931,2024,0,1,0,0,1,0,0
RS,J03,agrário,28821.71838633166,2024,0,0,1,1,1,0,0
MG,J02,consumidor,41870.72012392483,2022,0,0,0,1,0,0,1
SP,J02,agrário,16591.284803319693,2021,1,0,0,0,0,1,0
RS,J01,cível,71971.9206649347,2022,1,1,1,0,0,0,1
SP,J02,cível,2435.2816204111555,2020,0,0,1,1,0,0,0
RS,J02,agrário,7433.762365994188,2021,0,0,1,1,1,0,0
RJ,J02,trabalhista,16372.365251562142,2020,0,1,1,0,1,0,1
MG,J03,consumidor,11976.375495241722,2022,1,1,1,0,1,0,0
MG,J01,trabalhista,10083.498132481385,2020,0,0,0,1,0,0,0
RS,J03,trabalhista,48488.34656218447,2020,0,0,1,1,1,1,0
RS,J03,cível,45158.63011509426,2020,0,0,0,0,1,0,1
RS,J03,trabalhista,57297.634017125834,2024,1,0,0,1,0,0,0
RJ,J02,consumidor,7805.686521898254,2024,0,1,0,1,0,1,0
RJ,J01,trabalhista,36836.713401719986,2020,1,1,1,1,0,1,0
RJ,J03,consumidor,4964.923063223626,2022,1,0,0,1,0,1,1
RJ,J02,agrário,13405.076094774555,2024,0,0,0,1,0,0,0
RJ,J02,agrário,17394.016129281525,2020,1,1,0,0,1,0,1
RJ,J02,agrário,23088.70164596832,2020,1,1,0,0,1,1,0
RJ,J01,consumidor,15551.894203114385,2023,0,1,0,0,1,1,0
RS,J01,agrário,41863.00799233007,2020,0,1,1,1,1,1,1
RJ,J02,cível,45078.48985726239,2024,1,0,0,0,0,1,1
RJ,J02,agrário,18174.919150252317,2024,1,0,0,1,1,0,0
SP,J01,cível,6412.732337896024,2024,0,1,0,1,0,0,1
MG,J02,cível,6971.894916260387,2022,0,0,0,0,1,1,0
RS,J02,agrário,11263.966224330163,2023,1,0,1,0,1,1,0
RJ,J03,cível,42641.29682180356,2022,1,0,1,1,0,1,0
RJ,J02,consumidor,16765.813237220627,2020,0,0,0,1,0,1,0
RJ,J03,consumidor,7256.498999237944,2020,1,0,1,0,1,0,0
RJ,J02,consumidor,77089.22651851474,2022,1,0,1,0,1,1,0
RS,J02,trabalhista,18790.924128858478,2021,0,1,0,1,1,1,0
SP,J02,consumidor,5727.235561285371,2023,1,1,1,0,1,1,1
MG,J03,cível,97773.18033548153,2023,1,0,0,0,1,1,0
RJ,J03,cível,10799.40907425344,2021,0,0,0,0,0,1,0
RS,J02,trabalhista,98205.37334899131,2020,1,1,1,1,1,1,1
RJ,J01,agrário,32218.983821457114,2020,1,0,1,0,1,0,0
SP,J03,consumidor,109644.76173228111,2023,0,1,1,0,0,0,1
RJ,J02,cível,72170.96593797488,2024,1,1,1,1,0,0,0
RS,J01,cível,61472.42558136395,2021,0,0,0,0,1,1,0
SP,J01,cível,7966.487400216893,2022,1,1,1,1,1,1,0
RJ,J03,consumidor,8556.341979311912,2023,0,0,1,1,1,1,0
