area,area_juridica,tipo_processo,foro,valor_causa,complexidade,duracao_esperada,descricao,probabilidade_sucesso,prescricao,nulidade_prova,ilegitimidade,impugnacao_pericia,acordo_proposto,decadencia,incompetencia,conexao
consumidor,Direito do Consumidor,Civil,BA,35945,Baixa,6,Propaganda enganosa com pedido de indenização,0.8,0,0,1,0,0,0,0,0
civil,Direito Civil,Civil,ES,394386,Alta,15,Ação de despejo por falta de pagamento,0.8,1,1,1,0,0,0,0,0
agrario,Direito Agrário,Agrário,BA,3240619,Alta,18,Ação de usucapião de imóvel rural,0.7,1,0,1,1,0,0,0,0
civil,Direito Civil,Civil,CE,232724,Média,12,Rescisão contratual com pedido de restituição de valores,0.8,1,1,1,0,0,0,0,0
civil,Direito Civil,Civil,BA,25597,Baixa,11,Ação de indenização por danos morais e materiais decorrente de acidente de trânsito,0.7,0,0,1,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,MG,34578,Alta,13,Negativação indevida do nome do consumidor,0.9,0,1,1,0,1,0,0,0
penal,Direito Penal,Penal,MT,0,Alta,25,Investigação de crime tributário,0.6,0,1,1,0,0,0,1,0
penal,Direito Penal,Penal,PE,0,Alta,22,Investigação de crime tributário,0.6,0,1,1,0,0,0,1,0
consumidor,Direito do Consumidor,Civil,MS,36540,Média,10,Negativação indevida do nome do consumidor,0.8,0,1,0,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,MG,21912,Média,10,Propaganda enganosa com pedido de indenização,0.8,0,1,0,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,SP,29483,Alta,16,Ação de rescisão indireta por assédio moral,0.8,1,1,0,0,0,0,0,0
penal,Direito Penal,Penal,CE,0,Alta,21,Ação penal por crime contra o patrimônio,0.55,0,1,0,0,0,0,1,0
previdenciario,Direito Previdenciário,Previdenciário,MT,58937,Alta,19,Processo jurídico na área de previdenciario,0.82,1,0,0,0,1,0,0,0
constitucional,Direito Constitucional,Constitucional,CE,0,Alta,35,Processo jurídico na área de constitucional,0.63,0,1,0,0,0,0,1,1
consumidor,Direito do Consumidor,Civil,SC,38462,Baixa,6,Vício em produto com pedido de substituição,0.8,0,0,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,GO,7987,Baixa,5,Ação de rescisão indireta por assédio moral,0.8,0,1,0,0,1,0,0,0
penal,Direito Penal,Penal,RJ,0,Alta,26,Ação penal por crime contra o patrimônio,0.5,0,0,0,0,0,0,1,0
agrario,Direito Agrário,Agrário,DF,4127619,Alta,23,Regularização fundiária de propriedade rural,0.7,1,0,1,1,0,0,0,0
civil,Direito Civil,Civil,ES,346911,Baixa,8,Rescisão contratual com pedido de restituição de valores,0.8,1,1,1,0,0,0,0,0
penal,Direito Penal,Penal,RS,0,Alta,22,Ação penal por crime contra o patrimônio,0.6,0,1,1,0,0,0,1,0
consumidor,Direito do Consumidor,Civil,ES,45853,Baixa,9,Cobrança indevida de tarifa bancária com pedido de repetição,0.9,0,1,1,0,1,0,0,0
consumidor,Direito do Consumidor,Civil,RS,35403,Baixa,6,Negativação indevida do nome do consumidor,0.9,0,1,1,0,1,0,0,0
civil,Direito Civil,Civil,MS,387192,Baixa,9,Cobrança de dívida com pedido de penhora de bens,0.7,0,0,1,0,0,0,0,0
civil,Direito Civil,Civil,MS,402598,Média,12,Ação de indenização por danos morais e materiais decorrente de acidente de trânsito,0.8,1,1,1,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,ES,63058,Média,8,Reclamação trabalhista com pedido de horas extras,0.85,1,1,0,0,1,0,0,0
administrativo,Direito Administrativo,Administrativo,MT,894545,Baixa,17,Processo jurídico na área de administrativo,0.62,0,1,0,0,0,0,1,0
civil,Direito Civil,Civil,MG,337401,Alta,16,Ação de despejo por falta de pagamento,0.75,1,1,0,0,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,SC,76672,Alta,15,Equiparação salarial entre empregados,0.75,1,0,0,0,0,0,0,0
penal,Direito Penal,Penal,DF,0,Média,18,Processo por lesão corporal dolosa,0.6,0,1,1,0,0,0,1,0
agrario,Direito Agrário,Agrário,SP,4830586,Baixa,12,Desapropriação para fins de reforma agrária,0.7,1,0,1,1,0,0,0,0
civil,Direito Civil,Civil,ES,37983,Média,12,Rescisão contratual com pedido de restituição de valores,0.7,1,0,0,0,0,0,0,0
consumidor,Direito do Consumidor,Civil,ES,17195,Baixa,9,Negativação indevida do nome do consumidor,0.85,0,1,0,0,1,0,0,0
previdenciario,Direito Previdenciário,Previdenciário,SP,184679,Alta,21,Processo jurídico na área de previdenciario,0.77,1,0,0,0,0,0,0,0
previdenciario,Direito Previdenciário,Previdenciário,GO,90238,Baixa,15,Processo jurídico na área de previdenciario,0.87,1,0,0,1,1,0,0,0
agrario,Direito Agrário,Agrário,SC,3781830,Média,15,Conflito de terras entre posseiros,0.7,1,0,1,1,0,0,0,0
agrario,Direito Agrário,Agrário,CE,378118,Alta,19,Conflito de terras entre posseiros,0.7,1,0,1,1,0,0,0,0
trabalhista,Direito Trabalhista,Trabalhista,MG,80501,Média,8,Cobrança de verbas rescisórias não pagas,0.85,1,1,0,0,1,0,0,0
