foro,threshold,N_neg,TN,alpha_post,beta_post,spec_post_mean,spec_post_ci_low,spec_post_ci_up
SP,0.2,633,104,105.33649289099526,529.6635071090047,0.1658842407732209,0.13799398794102086,0.19576738084050183
SP,0.28,633,185,186.33649289099526,448.66350710900474,0.2934432958913311,0.2586873337956394,0.3294316367545385
SP,0.35,633,257,258.33649289099526,376.66350710900474,0.40682912266298465,0.36894233562281215,0.44527183789297226
SP,0.42,633,335,336.33649289099526,298.66350710900474,0.529663768332276,0.49079787440925493,0.5683526630779135
SP,0.5,633,437,438.33649289099526,196.66350710900474,0.6902936895921186,0.6538068138040599,0.7256451977616543
SP,0.57,633,498,499.33649289099526,135.66350710900474,0.7863566817181028,0.7536669656844024,0.8173381285535234
SP,0.65,633,560,561.3364928909953,73.66350710900474,0.8839944769936933,0.8579899293007198,0.9077092895326906
SP,0.73,633,603,604.3364928909953,30.66350710900474,0.9517110124267641,0.9337513693911735,0.9669808639393567
SP,0.8,633,619,620.3364928909953,14.66350710900474,0.9769078628204649,0.9638867024618936,0.9870967445136664
SP,0.88,633,632,633.3364928909953,1.6635071090047404,0.9973803037653469,0.9921795591373341,0.9997683745728583
SP,0.95,633,633,634.3364928909953,0.6635071090047404,0.9989551069149532,0.9953867119670383,0.9999947906870862
RJ,0.2,613,67,68.30179445350734,546.6982055464927,0.11105982837968674,0.08747456617891065,0.13703958672339372
RJ,0.28,613,158,159.30179445350734,455.69820554649266,0.2590273080544835,0.22519088261931652,0.294348135311684
RJ,0.35,613,232,233.30179445350734,381.69820554649266,0.379352511306516,0.34142075154353657,0.4180275488328558
RJ,0.42,613,311,312.30179445350734,302.69820554649266,0.5078077958593615,0.4683175188475842,0.5472499696808052
RJ,0.5,613,410,411.30179445350734,203.69820554649266,0.6687834056154591,0.6311120698634347,0.7054149434227545
RJ,0.57,613,482,483.30179445350734,131.69820554649266,0.7858565763471664,0.7526009915311868,0.8173514245858929
RJ,0.65,613,532,533.3017944535073,81.69820554649266,0.8671573893552965,0.8392515105522923,0.8928024894135624
RJ,0.73,613,583,584.3017944535073,30.69820554649266,0.9500842186235892,0.9315508195485955,0.9658503105457066
RJ,0.8,613,605,606.3017944535073,8.698205546492659,0.9858565763471664,0.9751383609640546,0.9936062472718419
RJ,0.88,613,610,611.3017944535073,3.698205546492659,0.9939866576479794,0.9865271323202867,0.9984668593706463
RJ,0.95,613,613,614.3017944535073,0.6982055464926589,0.9988647064284673,0.9951012322092837,0.9999927807577617
MG,0.2,810,246,247.63783713929115,564.4965627079438,0.3049222360065928,0.27374488932046753,0.3370096281158564
MG,0.28,810,407,408.63783713929115,403.4965627079438,0.5031652854701848,0.46880088937382264,0.537514914442667
MG,0.35,810,530,531.6378371392912,280.4965627079438,0.6546180499672147,0.6215852114491032,0.6869295702715909
MG,0.42,810,621,622.6378371392912,189.49656270794378,0.7666684692292449,0.7369882087709645,0.795104807344992
MG,0.5,810,682,683.6378371392912,128.49656270794378,0.841779189833463,0.8159141138129653,0.8660502487581446
MG,0.57,810,735,736.6378371392912,75.49656270794378,0.9070393241289312,0.886153980838292,0.9260270231998524
MG,0.65,810,768,769.6378371392912,42.49656270794378,0.9476729926525246,0.9313548573999739,0.9619056054277737
MG,0.73,810,798,799.6378371392912,12.49656270794378,0.9846126913103368,0.9750862797906273,0.991891027192646
MG,0.8,810,807,808.6378371392912,3.496562707943781,0.9956946009076805,0.9901693488610512,0.998959269897538
MG,0.88,810,810,811.6378371392912,0.4965627079437809,0.9993885707734617,0.99692049012625,0.9999994260596275
MG,0.95,810,810,811.6378371392912,0.4965627079437809,0.9993885707734617,0.99692049012625,0.9999994260596275
RS,0.2,543,35,36.1182320441989,508.88176795580114,0.0662719854021998,0.046960429948905626,0.08859404610034534
RS,0.28,543,70,71.11823204419889,473.88176795580114,0.13049216888843834,0.10355448803461532,0.15999713624335504
RS,0.35,543,143,144.1182320441989,400.88176795580114,0.2644371230168787,0.22828367594407856,0.30222802806333326
RS,0.42,543,216,217.1182320441989,327.88176795580114,0.3983820771453191,0.35768828517879314,0.43978233228982316
RS,0.5,543,277,278.1182320441989,266.88176795580114,0.5103086826499063,0.46835866903105683,0.5521870271233115
RS,0.57,543,353,354.1182320441989,190.88176795580114,0.6497582239343099,0.6092417385644876,0.6892335981438211
RS,0.65,543,417,418.1182320441989,126.88176795580114,0.7671894165948604,0.7308346123734762,0.8016870317152163
RS,0.73,543,473,474.1182320441989,70.88176795580114,0.869941710172842,0.840475280221986,0.8968378476808337
RS,0.8,543,515,516.1182320441989,28.881767955801138,0.9470059303563282,0.9267197407383733,0.9641910349965366
RS,0.88,543,537,538.1182320441989,6.881767955801138,0.9873729028333924,0.9764456278501249,0.9949478265626273
RS,0.95,543,543,544.1182320441989,0.8817679558011378,0.998382077145319,0.9937061205035332,0.9999731776863975
PR,0.2,684,72,73.27105263157895,612.728947368421,0.10680911462329294,0.08482388224509792,0.13096453923608106
PR,0.28,684,165,166.27105263157895,519.728947368421,0.24237762774282645,0.21106105686005255,0.27511688695442177
PR,0.35,684,247,248.27105263157895,437.728947368421,0.3619111554396195,0.32637058610962233,0.39821439336678605
PR,0.42,684,348,349.2710526315789,336.728947368421,0.5091414761393279,0.4717453432652039,0.5464871186322973
PR,0.5,684,434,435.2710526315789,250.72894736842102,0.6345059076262084,0.5981365965895519,0.6701323373002845
PR,0.57,684,508,509.2710526315789,176.72894736842102,0.7423776277428265,0.7090215735882412,0.7743951501768571
PR,0.65,684,582,583.271052631579,102.72894736842102,0.8502493478594446,0.8226212542772485,0.8759437239070819
PR,0.73,684,640,641.271052631579,44.72894736842102,0.9347974528157128,0.9151718387974038,0.9520247431354676
PR,0.8,684,668,669.271052631579,16.728947368421018,0.9756137793463251,0.9628305110384795,0.9857808608410825
PR,0.88,684,683,684.271052631579,1.728947368421018,0.997479668559153,0.9925882214884874,0.9997607796172381
PR,0.95,684,684,685.271052631579,0.7289473684210179,0.9989373945066748,0.9955019345026798,0.9999917856086639
SC,0.2,595,36,37.14621848739496,559.853781512605,0.06222147150317414,0.04429185306353055,0.08292507953486133
SC,0.28,595,94,95.14621848739496,501.853781512605,0.1593739003138944,0.13114316815399463,0.18976557264241706
SC,0.35,595,156,157.14621848739495,439.853781512605,0.26322649662880226,0.22869990705271448,0.2992556042204132
SC,0.42,595,228,229.14621848739495,367.853781512605,0.3838295117041791,0.34523545843234416,0.42316084295540196
SC,0.5,595,319,320.14621848739495,276.853781512605,0.5362583224244472,0.4961885880754037,0.5760979369403755
SC,0.57,595,391,392.14621848739495,204.853781512605,0.656861337499824,0.6183282097273726,0.6943989672671569
SC,0.65,595,476,477.14621848739495,119.853781512605,0.7992398969638106,0.7662072529275616,0.8303738715620907
SC,0.73,595,539,540.146218487395,56.853781512604996,0.9047675351547655,0.879992157837207,0.9269763547411155
SC,0.8,595,577,578.146218487395,18.853781512604996,0.9684191264445478,0.9529846674629499,0.9808911851221847
SC,0.88,595,594,595.146218487395,1.8537815126049964,0.996894838337345,0.9911143357566761,0.9996669720062554
SC,0.95,595,595,596.146218487395,0.8537815126049964,0.998569880213392,0.994356715655552,0.999978943904501
DF,0.2,544,32,33.07573529411765,512.9242647058824,0.06057826976944625,0.042159763857517074,0.08204064344377289
DF,0.28,544,70,71.07573529411765,474.92426470588236,0.13017533936651585,0.10329135426096935,0.15962410255923523
DF,0.35,544,120,121.07573529411765,424.92426470588236,0.22175043094160743,0.1879257603135402,0.2575055759118541
DF,0.42,544,181,182.07573529411764,363.92426470588236,0.3334720426632191,0.2945595098808228,0.37354013240719863
DF,0.5,544,260,261.07573529411764,284.92426470588236,0.4781606873518638,0.4363916966676976,0.5200812334510185
DF,0.57,544,333,334.07573529411764,211.92426470588236,0.6118603210514975,0.5706504261251578,0.6522939744658884
DF,0.65,544,412,413.07573529411764,132.92426470588236,0.7565489657401422,0.7197162136640421,0.791601714296487
DF,0.73,544,469,470.07573529411764,75.92426470588236,0.8609445701357465,0.8307284284375079,0.8886573583948681
DF,0.8,544,512,513.0757352941176,32.924264705882365,0.9396991488903254,0.918278842810692,0.9580736966578532
DF,0.88,544,537,538.0757352941176,7.924264705882365,0.9854866946778711,0.9739022526758186,0.9937327775263969
DF,0.95,544,544,545.0757352941176,0.924264705882365,0.998307207498384,0.9935488166887271,0.9999668764123639
ES,0.2,657,61,62.24809741248097,596.751902587519,0.09445841792485732,0.07334051657724734,0.11790601897477256
ES,0.28,657,142,143.24809741248097,515.751902587519,0.2173719232359347,0.1867351499020325,0.2496333408679675
ES,0.35,657,228,229.24809741248097,429.751902587519,0.34787268196127613,0.3119863149933667,0.3846336707506305
ES,0.42,657,322,323.248097412481,335.751902587519,0.4905130461494401,0.4524136626925663,0.5286669751479294
ES,0.5,657,433,434.248097412481,224.751902587519,0.6589500719461017,0.6223399877860946,0.6946463125687984
ES,0.57,657,481,482.248097412481,176.751902587519,0.7317877047230364,0.6973378625655917,0.7649050360345744
ES,0.65,657,547,548.248097412481,110.751902587519,0.8319394497913217,0.8024796759532152,0.8594913878318251
ES,0.73,657,597,598.248097412481,60.751902587519,0.9078119839339621,0.8846004909696114,0.9286808013990173
ES,0.8,657,636,637.248097412481,21.751902587518998,0.9669925605652215,0.9520776132844717,0.9792306862842436
ES,0.88,657,653,654.248097412481,4.751902587518998,0.9927892221737192,0.9850533103658138,0.9977371507635155
ES,0.95,657,657,658.248097412481,0.7519025875189982,0.9988590249051305,0.9952367158212534,0.999989903184634
GO,0.2,669,117,118.35037369207772,552.6496263079223,0.1763790964114422,0.14849527012761254,0.20608974469417365
GO,0.28,669,204,205.35037369207774,465.6496263079223,0.306036324429326,0.2717548667839436,0.3414129532931751
GO,0.35,669,296,297.3503736920777,373.6496263079223,0.44314511727582373,0.40575927699160513,0.4808519982564877
GO,0.42,669,389,390.3503736920777,280.6496263079223,0.5817442230880443,0.5442307117460059,0.6187961547264237
GO,0.5,669,458,459.3503736920777,211.6496263079223,0.6845758177229176,0.6489351484571487,0.7191743134431406
GO,0.57,669,528,529.3503736920777,141.6496263079223,0.7888977253235138,0.7572453832455381,0.8189191009615601
GO,0.65,669,573,574.3503736920777,96.64962630792229,0.8559618087810398,0.8284319548480669,0.8814825447267499
GO,0.73,669,629,630.3503736920777,40.64962630792229,0.9394193348615167,0.9201811532807866,0.9561798997890695
GO,0.8,669,656,657.3503736920777,13.64962630792229,0.9796577849360324,0.9677038179272801,0.9889170722615527
GO,0.88,669,667,668.3503736920777,2.64962630792229,0.9960512275589831,0.9900946518368395,0.999292507113693
GO,0.95,669,669,670.3503736920777,0.6496263079222899,0.9990318534904288,0.995684421621445,0.9999956542987749
MT,0.2,706,127,128.40764872521245,579.5923512747876,0.18136673548758822,0.1538743679161419,0.21056381831241455
MT,0.28,706,247,248.40764872521245,459.5923512747876,0.350858260911317,0.31614090411400797,0.38637373003559444
MT,0.35,706,336,337.4076487252125,370.5923512747876,0.4765644756005826,0.43987463593659887,0.5133797322670349
MT,0.42,706,433,434.4076487252125,273.5923512747876,0.6135701253180967,0.5774358743609846,0.6490966100075835
MT,0.5,706,517,518.4076487252124,189.59235127478757,0.7322141931147068,0.6990130396750751,0.7641727729805774
MT,0.57,706,588,589.4076487252124,118.59235127478757,0.832496678990413,0.8041391942953295,0.8590753573767583
MT,0.65,706,640,641.4076487252124,66.59235127478757,0.9059430066740288,0.8833977884545529,0.9263175093808796
MT,0.73,706,676,677.4076487252124,30.592351274787575,0.9567904643011474,0.9406457150512774,0.9704957495115846
MT,0.8,706,700,701.4076487252124,6.592351274787575,0.9906887693858932,0.98241132459934,0.996369727671288
MT,0.88,706,705,706.4076487252124,1.5923512747875748,0.9977509162785486,0.9931674982533562,0.9998171734853744
MT,0.95,706,706,707.4076487252124,0.5923512747875748,0.9991633456570796,0.9961114607275845,0.9999976928021678
