foro,alpha_prior,beta_prior,mean_prior
SP,1.3364928909952607,0.6635071090047393,0.6682464454976303
RJ,1.3017944535073407,0.6982055464926593,0.6508972267536703
MG,1.637837139291152,0.4965627079438318,0.767352537722908
RS,1.118232044198895,0.8817679558011049,0.5591160220994476
PR,1.2710526315789474,0.7289473684210526,0.6355263157894737
SC,1.146218487394958,0.8537815126050421,0.573109243697479
DF,1.075735294117647,0.924264705882353,0.5378676470588235
ES,1.248097412480974,0.7519025875190259,0.624048706240487
GO,1.3503736920777278,0.6496263079222722,0.6751868460388639
MT,1.4076487252124648,0.5923512747875352,0.7038243626062324
