foro,threshold,N_neg,TN,spec
SP,0.2,633,104,0.16429699842022116
SP,0.28,633,185,0.292259083728278
SP,0.35,633,257,0.4060031595576619
SP,0.42,633,335,0.5292259083728278
SP,0.5,633,437,0.6903633491311216
SP,0.57,633,498,0.7867298578199052
SP,0.65,633,560,0.8846761453396524
SP,0.73,633,603,0.95260663507109
SP,0.8,633,619,0.9778830963665087
SP,0.88,633,632,0.9984202211690363
SP,0.95,633,633,1.0
RJ,0.2,613,67,0.10929853181076672
RJ,0.28,613,158,0.25774877650897227
RJ,0.35,613,232,0.37846655791190864
RJ,0.42,613,311,0.5073409461663948
RJ,0.5,613,410,0.6688417618270799
RJ,0.57,613,482,0.7862969004893964
RJ,0.65,613,532,0.867862969004894
RJ,0.73,613,583,0.9510603588907015
RJ,0.8,613,605,0.9869494290375204
RJ,0.88,613,610,0.9951060358890701
RJ,0.95,613,613,1.0
MG,0.2,810,246,0.3037037037037037
MG,0.28,810,407,0.5024691358024691
MG,0.35,810,530,0.654320987654321
MG,0.42,810,621,0.7666666666666667
MG,0.5,810,682,0.8419753086419753
MG,0.57,810,735,0.9074074074074074
MG,0.65,810,768,0.9481481481481482
MG,0.73,810,798,0.9851851851851852
MG,0.8,810,807,0.9962962962962963
MG,0.88,810,810,1.0
MG,0.95,810,810,1.0
RS,0.2,543,35,0.06445672191528545
RS,0.28,543,70,0.1289134438305709
RS,0.35,543,143,0.26335174953959484
RS,0.42,543,216,0.39779005524861877
RS,0.5,543,277,0.5101289134438306
RS,0.57,543,353,0.6500920810313076
RS,0.65,543,417,0.7679558011049724
RS,0.73,543,473,0.8710865561694291
RS,0.8,543,515,0.9484346224677717
RS,0.88,543,537,0.988950276243094
RS,0.95,543,543,1.0
PR,0.2,684,72,0.10526315789473684
PR,0.28,684,165,0.2412280701754386
PR,0.35,684,247,0.3611111111111111
PR,0.42,684,348,0.5087719298245614
PR,0.5,684,434,0.6345029239766082
PR,0.57,684,508,0.7426900584795322
PR,0.65,684,582,0.8508771929824561
PR,0.73,684,640,0.935672514619883
PR,0.8,684,668,0.9766081871345029
PR,0.88,684,683,0.9985380116959064
PR,0.95,684,684,1.0
SC,0.2,595,36,0.06050420168067227
SC,0.28,595,94,0.15798319327731092
SC,0.35,595,156,0.26218487394957984
SC,0.42,595,228,0.3831932773109244
SC,0.5,595,319,0.5361344537815126
SC,0.57,595,391,0.6571428571428571
SC,0.65,595,476,0.8
SC,0.73,595,539,0.9058823529411765
SC,0.8,595,577,0.9697478991596639
SC,0.88,595,594,0.9983193277310924
SC,0.95,595,595,1.0
DF,0.2,544,32,0.058823529411764705
DF,0.28,544,70,0.12867647058823528
DF,0.35,544,120,0.22058823529411764
DF,0.42,544,181,0.3327205882352941
DF,0.5,544,260,0.47794117647058826
DF,0.57,544,333,0.6121323529411765
DF,0.65,544,412,0.7573529411764706
DF,0.73,544,469,0.8621323529411765
DF,0.8,544,512,0.9411764705882353
DF,0.88,544,537,0.9871323529411765
DF,0.95,544,544,1.0
ES,0.2,657,61,0.0928462709284627
ES,0.28,657,142,0.2161339421613394
ES,0.35,657,228,0.3470319634703196
ES,0.42,657,322,0.4901065449010654
ES,0.5,657,433,0.6590563165905632
ES,0.57,657,481,0.7321156773211568
ES,0.65,657,547,0.832572298325723
ES,0.73,657,597,0.908675799086758
ES,0.8,657,636,0.9680365296803652
ES,0.88,657,653,0.9939117199391172
ES,0.95,657,657,1.0
GO,0.2,669,117,0.17488789237668162
GO,0.28,669,204,0.30493273542600896
GO,0.35,669,296,0.44245142002989535
GO,0.42,669,389,0.5814648729446936
GO,0.5,669,458,0.6846038863976084
GO,0.57,669,528,0.7892376681614349
GO,0.65,669,573,0.8565022421524664
GO,0.73,669,629,0.9402092675635276
GO,0.8,669,656,0.9805680119581465
GO,0.88,669,667,0.9970104633781763
GO,0.95,669,669,1.0
MT,0.2,706,127,0.17988668555240794
MT,0.28,706,247,0.34985835694050993
MT,0.35,706,336,0.47592067988668557
MT,0.42,706,433,0.613314447592068
MT,0.5,706,517,0.7322946175637394
MT,0.57,706,588,0.8328611898016998
MT,0.65,706,640,0.9065155807365439
MT,0.73,706,676,0.9575070821529745
MT,0.8,706,700,0.9915014164305949
MT,0.88,706,705,0.9985835694050992
MT,0.95,706,706,1.0
